participant_id,cleaned_ids,f0_mean,f0_min,f0_max,f0_range,f0_sd,intensity_mean,intensity_min,intensity_max,intensity_range,intensity_sd,f1_mean,f1_sd,f2_mean,f2_sd,f3_mean,f3_sd,f2_f1_mean,f3_f1_mean,f2_f1_sd,f3_f1_sd,jitter,shimmer,percent_unvoiced,percent_breaks,pause_duration_max,pause_duration_avg,duration,average_outer_brow_height_mean,average_inner_brow_height_mean,eye_open_mean,outer_lip_height_mean,inner_lip_height_mean,lip_corner_distance_mean,smile_mean,pitch_mean,yaw_mean,roll_mean,average_outer_brow_height_std,average_inner_brow_height_std,eye_open_std,outer_lip_height_std,inner_lip_height_std,lip_corner_distance_std,smile_std,pitch_std,yaw_std,roll_std,average_outer_brow_height_min,average_inner_brow_height_min,eye_open_min,outer_lip_height_min,inner_lip_height_min,lip_corner_distance_min,smile_min,pitch_min,yaw_min,roll_min,average_outer_brow_height_max,average_inner_brow_height_max,eye_open_max,outer_lip_height_max,inner_lip_height_max,lip_corner_distance_max,smile_max,pitch_max,yaw_max,roll_max,average_outer_brow_height_median,average_inner_brow_height_median,eye_open_median,outer_lip_height_median,inner_lip_height_median,lip_corner_distance_median,smile_median,pitch_median,yaw_median,roll_median,Total Words,Unique Words,Filler Words,Audio Duration (s),Duration/Total Words,Duration/Unique Words,Duration/Filler Words,Individual,We,They,Non-Fluences,PosEmotion,NegEmotion,Anxiety,Anger,Sadness,Cognitive,Inhibition,Preceptual,Relativity,Work,Swear,Articles,Verbs,Adverbs,Prepositions,Conjunctions,Negations,Quantifiers,Numbers
P14,P14,192.2814715,75.42188429,517.6537362,442.2318519,48.88476753,-20.274,-37.221077,0.0,37.221077,7.309336,679.4780621,327.3345753,1967.153196,364.9161969,2999.934772,352.8892933,3.450665316,5.265268033,1.534862846,2.188944449,0.021971089,0.162787313,11.75974649,1.890648952,1.35,0.218648649,206.382,0.026099684,0.026588618,0.014618208,0.028219841,0.003709701,0.061351269,1.54,8.078950702,32.93030686,3.449529483,0.001247075,0.001765817,0.002836847,0.004322448,0.002418163,0.004161904,0.752595509,3.270783074,9.765306269,6.251729921,0.024204346,0.024030814,0.012068797,0.021034465,0.00018888,0.056820223,1.0,3.200240568,19.01037321,-4.18790764,0.027958125,0.028873217,0.019270009,0.03375055,0.006562022,0.06790357,3.0,13.12998782,43.33606187,13.75418318,0.026224552,0.026139051,0.01313105,0.029352022,0.003282696,0.060469974,1.2,7.343845752,37.82129239,1.987908397,579,230,15,206.382,2.81,1.11,0.07,8,8,2,14,2,0,1,0,0,6,0,0,0,9,0,36,66,57,48,48,1,5,9
P15,P15,176.9187511,74.95878618,598.1250279,523.1662417,60.02529856,-17.992184,-33.56758,0.0,33.56758,7.1418257,631.8633806,295.2591228,1815.712561,370.8319341,2832.101415,348.4642409,3.292522478,5.135099922,1.299093155,1.796240296,0.021837564,0.16601491,17.51126311,1.975374258,2.67,0.334304933,425.726,0.030118427,0.032218479,0.015829476,0.037836089,0.007131109,0.063399912,1.886666667,9.671220045,4.745413875,-0.386257833,0.001756417,0.002844723,0.001840948,0.004625183,0.003108525,0.003079997,1.13638804,3.182113684,9.102416586,1.095870352,0.027413121,0.02841454,0.013130682,0.032698024,0.004494401,0.059432007,0.0,4.368131469,-12.2875557,-2.126068044,0.032217485,0.036470988,0.018926621,0.045942615,0.013012857,0.068698768,3.5,13.91501767,13.30608771,1.33535523,0.029863786,0.032196182,0.015684039,0.037303649,0.005982079,0.063495737,2.0,9.290327605,7.845192579,-0.365905857,1048,351,51,425.726,2.46,0.82,0.12,18,15,4,50,2,1,0,1,0,11,0,1,3,3,0,56,155,77,111,68,1,1,2
P16,P16,220.3216798,75.41128022,593.3595857,517.9483055,46.62438161,-19.98181,-35.493877,0.0,35.493877,7.374722,647.5283425,300.8054629,1872.554153,379.9392811,2960.3573,334.3960703,3.366522308,5.319657735,1.435302431,2.038745977,0.021266292,0.167722382,15.29579972,1.752098443,1.68,0.316465116,444.828,0.023235681,0.021687467,0.017600852,0.02550935,0.003058643,0.064817201,2.993333333,-1.260506867,20.5132533,-6.148891806,0.001024423,0.002220699,0.004184733,0.002642129,0.001511233,0.003349153,1.166266598,5.548632827,5.732122538,2.755617783,0.021712299,0.017993382,0.009327725,0.022289183,0.001307583,0.060505732,1.8,-10.77328724,14.17974926,-10.73164407,0.024548801,0.024160938,0.020526516,0.029873581,0.005525001,0.069206865,5.0,5.84397852,30.67506977,-2.51871516,0.022929153,0.021430673,0.018974685,0.024563485,0.002263027,0.063478567,2.666666667,-1.533274613,17.94430466,-5.133976563,1228,355,60,444.828,2.76,0.8,0.13,6,18,9,56,13,0,1,0,0,5,0,0,0,9,0,58,168,136,104,92,1,7,10
P17,P17,202.0942876,76.28463883,484.1694241,407.8847853,78.61054483,-28.04094,-40.302998,9.54e-07,40.302998,7.1902866,664.0247684,332.2872062,1849.683145,393.9459726,2985.059144,359.7750031,3.282651309,5.332857897,1.400592114,2.134196385,0.016398878,0.155812996,30.14654373,3.391959799,4.71,0.393148148,211.268,0.02660611,0.029686797,0.01191005,0.024126853,0.003779082,0.072257051,88.18,-10.14098353,16.95489688,-63.37969589,0.002168879,0.002918537,0.000582057,0.004271245,0.00421807,0.005344616,12.3664708,19.34787369,4.304486375,82.43991469,0.023887858,0.026257466,0.011028637,0.018371482,0.000478845,0.06710343,70.5,-33.02898374,11.82382375,-164.4776173,0.02960155,0.033616997,0.012558271,0.030120798,0.011994492,0.08239768,100.0,13.17604282,23.35579984,6.282471726,0.027162842,0.030057362,0.011862568,0.024633014,0.002699959,0.070637822,94.0,-2.834653096,17.85392026,2.332549262,488,214,24,211.268,2.31,1.01,0.11,12,4,7,24,0,0,1,0,0,6,0,5,1,6,0,23,67,48,44,35,1,3,4
P20,P20,201.4688896,75.44027803,540.1647813,464.7245033,58.32208553,-16.601994,-29.031202,0.0,29.031202,6.064154,641.0832449,333.8675191,1844.030746,379.0981201,2933.90095,367.1546946,3.534112517,5.698107721,1.705653005,2.771189868,0.030316138,0.165363828,23.30212033,3.464725082,2.55,0.282391304,167.238,0.017873048,0.016698194,0.012222343,0.018503002,0.000996897,0.052592096,0.1,0.961774014,12.6035841,-7.488375513,0.000883448,0.001475621,0.001959977,0.00190357,0.00045755,0.003378195,0.2,4.222795235,7.950700622,5.019347602,0.016635603,0.015347172,0.009711978,0.016702179,0.00051854,0.049567455,0.0,-3.486997096,3.232659882,-13.00492781,0.019091666,0.019184076,0.014526247,0.021628489,0.001749776,0.058149806,0.5,7.404648822,21.37346139,-2.434074063,0.017882461,0.016130763,0.012325573,0.01784067,0.000859636,0.051325562,0.0,-0.035277835,12.90410757,-7.257250089,477,196,19,167.238,2.85,1.17,0.11,4,7,0,18,4,0,0,0,0,3,0,0,0,3,0,29,64,37,51,39,0,0,1
P21,P21,221.9897464,91.59133342,532.989272,441.3979385,64.90312422,-17.975056,-24.771954,0.0,24.771954,6.4873815,793.6421575,352.8186983,1968.718508,386.4813434,3043.715058,392.5988273,2.895212035,4.533715621,1.229041466,1.934608362,0.027388871,0.167384279,53.69446814,5.544554455,18.54,1.168928571,60.956,0.024598122,0.02685115,0.012101979,0.024287077,0.004064345,0.06256973,13.44333333,7.567677751,17.15425394,-7.791706533,0.001035429,0.001840232,0.001370856,0.003906192,0.002114384,0.001755633,8.563265213,2.272563066,7.37615964,9.263122394,0.023179541,0.02359267,0.009662316,0.017932951,0.000648861,0.059412968,1.0,3.933634484,2.962105505,-20.17831685,0.026156491,0.028529491,0.013818344,0.029303055,0.007080956,0.064399004,22.25,9.762584036,22.56285969,1.496437488,0.02428095,0.027924378,0.012166051,0.026031444,0.003754931,0.063217322,17.8,9.033715845,21.19013498,-2.673195861,97,56,0,60.956,1.59,0.92,0.0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,14,7,5,6,0,0,1
P22,P22,162.465754,75.0102432,595.1372848,520.1270416,67.24539577,-21.191856,-36.19718,0.0,36.19718,6.0036497,635.2340204,269.5426247,1790.367705,363.1970129,2875.52335,384.877998,3.190499999,5.134411299,1.241300392,1.86052553,0.029040518,0.182532233,19.45721717,2.556486687,1.41,0.294273859,364.492,0.027842015,0.029657643,0.014748932,0.024550953,0.001751159,0.058952901,0.613333333,4.036434557,13.39680804,-9.866325321,0.001305097,0.002129941,0.000389665,0.004443439,0.000953765,0.005034776,0.21145002,4.627993948,5.783550031,4.941391053,0.02637739,0.027917765,0.014060323,0.019328456,0.000487916,0.051966337,0.4,-2.491317896,6.079368318,-15.062966,0.030116482,0.033713222,0.015270394,0.030871712,0.002950734,0.064122279,1.0,9.962044312,22.04787974,-0.758857791,0.027414433,0.028613313,0.014816658,0.024419569,0.001894368,0.062026742,0.5,3.88958184,11.47697436,-11.23570991,1013,359,33,364.492,2.78,0.98,0.09,8,27,14,33,0,0,0,0,0,3,0,0,2,11,0,48,147,76,111,83,0,8,6
P24,P24,217.4033025,75.4977572,582.5498055,507.0520483,54.20570847,-17.743128,-36.353428,0.0,36.353428,7.676505,634.3428715,257.9732154,1801.905463,378.3175189,2895.414113,338.1481731,3.209031404,5.158533226,1.309359836,1.891734383,0.019467049,0.156718683,13.0021,1.405105878,1.56,0.327887324,179.048,0.02415854,0.023973428,0.016003698,0.037676327,0.0136465,0.062775585,6.84,7.641641023,17.64074856,-1.182203518,0.000362854,0.00065442,0.000884843,0.007106898,0.007536008,0.004175533,5.217508984,2.692806448,7.183931235,3.787183926,0.02374245,0.02336873,0.014986926,0.031071779,0.0057097,0.055585072,0.0,3.503729532,10.25934226,-5.681451142,0.024735091,0.024956317,0.017336588,0.050521566,0.025780558,0.068141391,12.0,11.14618639,30.4104234,3.326162921,0.024133339,0.023530315,0.015671768,0.036890235,0.013136653,0.063890661,10.2,8.18118834,13.60075483,-1.081095702,518,211,8,179.048,2.89,1.18,0.04,4,6,5,8,6,0,0,0,0,7,0,0,1,2,0,37,55,58,60,42,0,1,4
P25,P25,226.2999927,74.99875302,599.967582,524.968829,112.398881,-22.622864,-37.876053,0.0,37.876053,6.7525535,665.0179446,270.9292661,1804.638562,369.6480692,2849.947989,352.6868431,3.075106912,4.867558335,1.224779661,1.770355236,0.035227821,0.192130537,15.21301683,1.816473536,1.98,0.303275862,346.874,0.021399945,0.021862461,0.015437738,0.029370906,0.007631213,0.059645924,18.18666667,-2.370796739,11.18533992,-0.320939909,0.003581579,0.004153041,0.003056557,0.008496359,0.006194912,0.007635503,15.07777761,8.408837048,4.4410552,5.648253552,0.017355067,0.01762207,0.010749529,0.017309271,0.000318755,0.049222918,0.0,-12.97714629,4.461687515,-11.58982351,0.026035537,0.027820839,0.020349203,0.042238244,0.015599869,0.068686086,33.33333333,8.354126961,15.20742729,3.103396186,0.020336986,0.020353926,0.015298172,0.029690465,0.005691929,0.061935494,25.6,0.767865962,14.09319339,2.143725543,1017,332,74,346.874,2.93,0.96,0.21,9,28,1,74,0,0,1,0,0,0,0,0,0,14,0,63,139,78,88,64,2,1,3
P27,P27,179.9414639,74.95354975,563.5714688,488.617919,52.51258844,-14.632471,-27.166004,0.0,27.166004,5.662714,610.8491167,243.5836336,1848.010293,318.1728875,2801.032849,343.8023302,3.400222772,5.138804827,1.23253494,1.727212802,0.021782259,0.184357855,17.41615512,2.960526316,0.81,0.215714286,156.062,0.023009249,0.022285013,0.015531234,0.027819456,0.002514068,0.066375383,1.54,1.441156079,5.544165438,-2.017531191,0.001469367,0.002301035,0.001503332,0.004811637,0.002141539,0.001908559,1.283121195,5.866269194,4.905637826,3.885422402,0.020379338,0.018529523,0.013956524,0.020352203,0.00020575,0.062929221,0.0,-9.231346078,-2.698933458,-8.241313721,0.024853523,0.025582418,0.018344251,0.034725659,0.006203763,0.068654796,3.0,6.896443791,11.68902056,3.192549091,0.023337009,0.022563721,0.01529522,0.029408655,0.001832644,0.067077479,2.2,4.734412776,5.755030151,-0.480161941,394,183,15,156.062,2.52,1.17,0.1,10,5,1,15,3,0,0,2,0,0,0,1,0,8,0,18,50,31,44,28,0,0,3
P29,P29,190.761564,74.96785432,598.7377795,523.7699252,71.66104965,-16.744928,-28.70934,0.0,28.70934,5.2652154,603.8836892,249.709806,1809.192189,360.3616403,2811.540191,347.8070594,3.311213756,5.149272455,1.127054434,1.530737383,0.024821352,0.185029326,18.41604189,3.004535147,1.8,0.233584906,201.672,0.027309826,0.027079457,0.015867218,0.039363389,0.007317934,0.06723576,26.84333333,-3.013321942,-8.902212048,-0.823808167,0.001353428,0.001541539,0.000870861,0.007381028,0.005495629,0.009117324,15.37166802,2.917051761,9.212397755,2.957565917,0.024766776,0.024170493,0.014197752,0.028336444,0.00015083,0.054386185,0.0,-6.677666066,-20.4183216,-3.962719228,0.028549276,0.028609938,0.016729951,0.046699316,0.015891701,0.078041685,44.5,0.836020946,2.221597846,4.331889263,0.027781593,0.027489287,0.016128957,0.04448116,0.008706035,0.068500738,29.66666667,-2.891833671,-7.815076902,-1.065358821,624,250,12,201.672,3.09,1.24,0.06,15,16,2,12,7,0,0,0,0,4,0,0,0,3,0,30,87,63,62,45,1,3,7
P30,P30,207.3149588,75.21438382,553.9285074,478.7141236,84.59004035,-25.067245,-33.28495,0.0,33.28495,5.1023164,706.9671173,314.2730842,1967.174994,327.6582531,3011.635513,330.514397,3.217593786,4.980174718,1.274369461,1.951572036,0.03724429,0.199282489,53.66621842,8.78629933,3.84,0.514067797,113.032,0.0255254,0.025614423,0.016890772,0.035603195,0.006346507,0.07939955,51.85666667,-14.11682873,-0.624449742,-29.03985601,0.001346619,0.001754609,0.002359939,0.005440075,0.005091741,0.003020353,11.32352321,5.157899993,2.371956191,72.91057488,0.024039169,0.023755538,0.012693512,0.028073385,0.001519987,0.075415544,34.0,-22.72760043,-2.826975334,-174.7588566,0.027441843,0.027899983,0.019058337,0.042879575,0.014274534,0.082909511,67.0,-8.857819407,3.684574457,11.46238155,0.024929041,0.024422383,0.018139677,0.033194656,0.003052046,0.079396045,52.2,-13.89632781,-0.857295236,5.293817093,296,153,3,113.032,2.62,1.35,0.03,2,11,0,2,2,0,0,0,0,0,0,1,0,8,0,20,40,27,26,19,0,3,4
P31,P31,227.970709,75.59598605,592.9409519,517.3449659,44.35441104,-20.939245,-36.811707,9.54e-07,36.811707,7.6924,651.2288679,299.7557085,1941.141565,376.7019238,2954.521848,360.0737112,3.538458129,5.37908355,1.641269089,2.329214047,0.022436628,0.162769682,18.56435644,1.844546327,2.94,0.382369942,356.328,0.029110028,0.031038736,0.016073746,0.032069352,0.004634951,0.066225261,28.81666667,3.537717071,-3.021767898,-1.847742947,0.001868519,0.003291789,0.002217903,0.006063492,0.003104294,0.007052479,9.934004452,8.537781828,19.31390991,9.701847596,0.026066158,0.025319955,0.01335417,0.025134913,9.37e-05,0.054357048,16.25,-11.92983933,-28.73291942,-19.19933446,0.031340539,0.03511861,0.018840916,0.040568285,0.00920109,0.075960864,45.0,13.40016836,28.4602033,9.613798174,0.02915787,0.031081147,0.015529527,0.033034824,0.005329678,0.068285815,28.5,6.431173238,-4.894050782,-0.283408838,958,315,44,356.328,2.69,0.88,0.12,15,15,5,44,1,0,1,1,0,6,0,0,1,7,0,48,120,72,106,72,1,0,14
